County,Count,Year,Suppression Information,Type of Overdose Death,County Code Number,County Code Text,State FIPS Code,County FIPS,Latitude,Longitude,Georeferenced Latitude & Longitude
Clinton,,2012,Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,18,18,42,35,41.23286274,-77.6428376,POINT (-77.6428376 41.23286274)
Lawrence,36,2018,,Any Drug Overdose Deaths,37,37,42,73,40.99325035,-80.33754114,POINT (-80.33754114 40.99325035)
Centre,14,2014,,Any Drug Overdose Deaths,14,14,42,27,40.9193135,-77.82500112,POINT (-77.82500112 40.9193135)
Lancaster,169,2017,,Any Drug Overdose Deaths,36,36,42,71,40.04590796,-76.25138768,POINT (-76.25138768 40.04590796)
Schuylkill,22,2022*,*2022 data as of October 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months.,Any Drug Overdose Deaths,54,54,42,107,40.70751243,-76.22332385,POINT (-76.22332385 40.70751243)
Susquehanna,,2020*,*2020 data as of September 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months. Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,58,58,42,115,41.8205686,-75.80250303,POINT (-75.80250303 41.8205686)
Lycoming,39,2020*,*2020 data as of September 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months.,Any Drug Overdose Deaths,41,41,42,81,41.34459792,-77.06942457,POINT (-77.06942457 41.34459792)
Columbia,15,2020*,*2020 data as of September 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months.,Any Drug Overdose Deaths,19,19,42,37,41.04912086,-76.4100218,POINT (-76.4100218 41.04912086)
Lycoming,14,2014,,Any Drug Overdose Deaths,41,41,42,81,41.34459792,-77.06942457,POINT (-77.06942457 41.34459792)
Clarion,11,2018,,Any Drug Overdose Deaths,16,16,42,31,41.19279129,-79.42483608,POINT (-79.42483608 41.19279129)
Chester,61,2022*,*2022 data as of October 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months.,Any Drug Overdose Deaths,15,15,42,29,39.97487056,-75.75626498,POINT (-75.75626498 39.97487056)
Somerset,14,2014,,Any Drug Overdose Deaths,56,56,42,111,39.97146299,-79.03100206,POINT (-79.03100206 39.97146299)
Washington,92,2017,,Any Drug Overdose Deaths,63,63,42,125,40.19109663,-80.25180083,POINT (-80.25180083 40.19109663)
Potter,,2022*,*2022 data as of October 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months. Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,53,53,42,105,41.74420644,-77.89879229,POINT (-77.89879229 41.74420644)
Delaware,118,2012,,Any Drug Overdose Deaths,23,23,42,45,39.91657867,-75.40627712,POINT (-75.40627712 39.91657867)
Monroe,24,2012,,Any Drug Overdose Deaths,45,45,42,89,41.06091787,-75.34083603,POINT (-75.34083603 41.06091787)
Chester,97,2016,,Any Drug Overdose Deaths,15,15,42,29,39.97487056,-75.75626498,POINT (-75.75626498 39.97487056)
Wayne,,2022*,*2022 data as of October 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months. Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,64,64,42,127,41.64969805,-75.3051535,POINT (-75.3051535 41.64969805)
Juniata,,2020*,*2020 data as of September 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months. Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,34,34,42,67,40.53433008,-77.405775,POINT (-77.405775 40.53433008)
Indiana,23,2022*,*2022 data as of October 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months.,Any Drug Overdose Deaths,32,32,42,63,40.65295497,-79.09333493,POINT (-79.09333493 40.65295497)
Lancaster,143,2020*,*2020 data as of September 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months.,Any Drug Overdose Deaths,36,36,42,71,40.04590796,-76.25138768,POINT (-76.25138768 40.04590796)
Crawford,31,2016,,Any Drug Overdose Deaths,20,20,42,39,41.68546907,-80.11321083,POINT (-80.11321083 41.68546907)
Union,,2012,Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,60,60,42,119,40.96473131,-77.06415803,POINT (-77.06415803 40.96473131)
Philadelphia,420,2013,,Any Drug Overdose Deaths,51,51,42,101,40.00444354,-75.140236,POINT (-75.140236 40.00444354)
Butler,73,2016,,Any Drug Overdose Deaths,10,10,42,19,40.91083185,-79.91711779,POINT (-79.91711779 40.91083185)
Adams,,2015,Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,1,1,42,1,39.87209565,-77.22224271,POINT (-77.22224271 39.87209565)
Allegheny,683,2020*,*2020 data as of September 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months.,Any Drug Overdose Deaths,2,2,42,3,40.46735543,-79.98619843,POINT (-79.98619843 40.46735543)
Somerset,15,2015,,Any Drug Overdose Deaths,56,56,42,111,39.97146299,-79.03100206,POINT (-79.03100206 39.97146299)
Franklin,14,2012,,Any Drug Overdose Deaths,28,28,42,55,39.92786197,-77.72398845,POINT (-77.72398845 39.92786197)
Berks,90,2018,,Any Drug Overdose Deaths,6,6,42,11,40.41939635,-75.93077327,POINT (-75.93077327 40.41939635)
Greene,14,2021*,*2021 data as of October 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months.,Any Drug Overdose Deaths,30,30,42,59,39.85480393,-80.22943817,POINT (-80.22943817 39.85480393)
Beaver,43,2013,,Any Drug Overdose Deaths,4,4,42,7,40.68349245,-80.35107356,POINT (-80.35107356 40.68349245)
Pike,13,2017,,Any Drug Overdose Deaths,52,52,42,103,41.332572,-75.03270924,POINT (-75.03270924 41.332572)
Carbon,,2012,Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,13,13,42,25,40.91936701,-75.71107039,POINT (-75.71107039 40.91936701)
Lebanon,25,2018,,Any Drug Overdose Deaths,38,38,42,75,40.367597,-76.46182575,POINT (-76.46182575 40.367597)
Mercer,38,2017,,Any Drug Overdose Deaths,43,43,42,85,41.30237777,-80.26009411,POINT (-80.26009411 41.30237777)
Snyder,,2012,Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,55,55,42,109,40.77113737,-77.07255968,POINT (-77.07255968 40.77113737)
Fulton,,2020*,*2020 data as of September 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months. Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,29,29,42,57,39.92487511,-78.11485045,POINT (-78.11485045 39.92487511)
Mckean,,2016,Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,42,42,42,83,41.81037074,-78.5712202,POINT (-78.5712202 41.81037074)
Pennsylvania,5171,2020*,*2020 data as of September 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months.,Any Drug Overdose Deaths,0,0,42,0,39.346129,-75.167756,POINT (-75.167756 39.346129)
Bucks,119,2014,,Any Drug Overdose Deaths,9,9,42,17,40.33501133,-75.11291241,POINT (-75.11291241 40.33501133)
Juniata,,2022*,*2022 data as of October 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months. Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,34,34,42,67,40.53433008,-77.405775,POINT (-77.405775 40.53433008)
Delaware,196,2019,,Any Drug Overdose Deaths,23,23,42,45,39.91657867,-75.40627712,POINT (-75.40627712 39.91657867)
Perry,,2012,Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,50,50,42,99,40.40415317,-77.25907385,POINT (-77.25907385 40.40415317)
Tioga,,2018,Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,59,59,42,117,41.77333834,-77.25788076,POINT (-77.25788076 41.77333834)
Wayne,16,2016,,Any Drug Overdose Deaths,64,64,42,127,41.64969805,-75.3051535,POINT (-75.3051535 41.64969805)
Jefferson,,2015,Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,33,33,42,65,41.13139091,-79.00101814,POINT (-79.00101814 41.13139091)
Montgomery,134,2014,,Any Drug Overdose Deaths,46,46,42,91,40.20989874,-75.37252001,POINT (-75.37252001 40.20989874)
Erie,54,2022*,*2022 data as of October 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months.,Any Drug Overdose Deaths,25,25,42,49,41.99413787,-80.0407591,POINT (-80.0407591 41.99413787)
Cambria,86,2017,,Any Drug Overdose Deaths,11,11,42,21,40.49127491,-78.71894174,POINT (-78.71894174 40.49127491)
Westmoreland,114,2019,,Any Drug Overdose Deaths,65,65,42,129,40.310315,-79.47134118,POINT (-79.47134118 40.310315)
Columbia,,2013,Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,19,19,42,37,41.04912086,-76.4100218,POINT (-76.4100218 41.04912086)
Elk,,2014,Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,24,24,42,47,41.42819416,-78.64947713,POINT (-78.64947713 41.42819416)
Venango,14,2021*,*2021 data as of October 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months.,Any Drug Overdose Deaths,61,61,42,121,41.40341259,-79.76286561,POINT (-79.76286561 41.40341259)
Venango,14,2020*,*2020 data as of September 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months.,Any Drug Overdose Deaths,61,61,42,121,41.40341259,-79.76286561,POINT (-79.76286561 41.40341259)
Pike,,2014,Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,52,52,42,103,41.332572,-75.03270924,POINT (-75.03270924 41.332572)
York,167,2017,,Any Drug Overdose Deaths,67,67,42,133,39.92192531,-76.72576052,POINT (-76.72576052 39.92192531)
Lawrence,20,2014,,Any Drug Overdose Deaths,37,37,42,73,40.99325035,-80.33754114,POINT (-80.33754114 40.99325035)
Montgomery,125,2013,,Any Drug Overdose Deaths,46,46,42,91,40.20989874,-75.37252001,POINT (-75.37252001 40.20989874)
Allegheny,383,2022*,*2022 data as of October 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months.,Any Drug Overdose Deaths,2,2,42,3,40.46735543,-79.98619843,POINT (-79.98619843 40.46735543)
Clarion,,2015,Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,16,16,42,31,41.19279129,-79.42483608,POINT (-79.42483608 41.19279129)
Armstrong,39,2016,,Any Drug Overdose Deaths,3,3,42,5,40.81509526,-79.47316899,POINT (-79.47316899 40.81509526)
Cameron,0,2018,,Any Drug Overdose Deaths,12,12,42,23,41.43880265,-78.20916932,POINT (-78.20916932 41.43880265)
Centre,14,2013,,Any Drug Overdose Deaths,14,14,42,27,40.9193135,-77.82500112,POINT (-77.82500112 40.9193135)
Sullivan,0,2022*,*2022 data as of October 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months. Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,57,57,42,113,41.4480994,-76.5147922,POINT (-76.5147922 41.4480994)
Lebanon,25,2017,,Any Drug Overdose Deaths,38,38,42,75,40.367597,-76.46182575,POINT (-76.46182575 40.367597)
Forest,,2015,Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,27,27,42,53,41.51357876,-79.23780995,POINT (-79.23780995 41.51357876)
Delaware,257,2017,,Any Drug Overdose Deaths,23,23,42,45,39.91657867,-75.40627712,POINT (-75.40627712 39.91657867)
Mifflin,,2018,Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,44,44,42,87,40.61274928,-77.62003089,POINT (-77.62003089 40.61274928)
Bucks,106,2013,,Any Drug Overdose Deaths,9,9,42,17,40.33501133,-75.11291241,POINT (-75.11291241 40.33501133)
Elk,,2020*,*2020 data as of September 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months. Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,24,24,42,47,41.42819416,-78.64947713,POINT (-78.64947713 41.42819416)
Bradford,13,2012,,Any Drug Overdose Deaths,8,8,42,15,41.79117814,-76.51825624,POINT (-76.51825624 41.79117814)
Mckean,,2015,Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,42,42,42,83,41.81037074,-78.5712202,POINT (-78.5712202 41.81037074)
Susquehanna,,2022*,*2022 data as of October 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months. Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,58,58,42,115,41.8205686,-75.80250303,POINT (-75.80250303 41.8205686)
Montour,12,2016,,Any Drug Overdose Deaths,47,47,42,93,41.02801824,-76.66470527,POINT (-76.66470527 41.02801824)
Juniata,,2019,Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,34,34,42,67,40.53433008,-77.405775,POINT (-77.405775 40.53433008)
Luzerne,60,2012,,Any Drug Overdose Deaths,40,40,42,79,41.17836439,-75.9919961,POINT (-75.9919961 41.17836439)
Lebanon,31,2021*,*2021 data as of October 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months.,Any Drug Overdose Deaths,38,38,42,75,40.367597,-76.46182575,POINT (-76.46182575 40.367597)
Forest,0,2018,,Any Drug Overdose Deaths,27,27,42,53,41.51357876,-79.23780995,POINT (-79.23780995 41.51357876)
Huntingdon,,2013,Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,31,31,42,61,40.416105,-77.9827661,POINT (-77.9827661 40.416105)
Bedford,20,2021*,*2021 data as of October 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months.,Any Drug Overdose Deaths,5,5,42,9,40.00737536,-78.49116474,POINT (-78.49116474 40.00737536)
Indiana,43,2016,,Any Drug Overdose Deaths,32,32,42,63,40.65295497,-79.09333493,POINT (-79.09333493 40.65295497)
Bedford,,2015,Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,5,5,42,9,40.00737536,-78.49116474,POINT (-78.49116474 40.00737536)
Somerset,22,2020*,*2020 data as of September 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months.,Any Drug Overdose Deaths,56,56,42,111,39.97146299,-79.03100206,POINT (-79.03100206 39.97146299)
Allegheny,570,2019,,Any Drug Overdose Deaths,2,2,42,3,40.46735543,-79.98619843,POINT (-79.98619843 40.46735543)
Northampton,93,2017,,Any Drug Overdose Deaths,48,48,42,95,40.7545954,-75.31263726,POINT (-75.31263726 40.7545954)
Columbia,14,2019,,Any Drug Overdose Deaths,19,19,42,37,41.04912086,-76.4100218,POINT (-76.4100218 41.04912086)
Crawford,36,2021*,*2021 data as of October 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months.,Any Drug Overdose Deaths,20,20,42,39,41.68546907,-80.11321083,POINT (-80.11321083 41.68546907)
Berks,104,2017,,Any Drug Overdose Deaths,6,6,42,11,40.41939635,-75.93077327,POINT (-75.93077327 40.41939635)
Franklin,38,2017,,Any Drug Overdose Deaths,28,28,42,55,39.92786197,-77.72398845,POINT (-77.72398845 39.92786197)
Bucks,210,2020*,*2020 data as of September 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months.,Any Drug Overdose Deaths,9,9,42,17,40.33501133,-75.11291241,POINT (-75.11291241 40.33501133)
Union,,2019,Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,60,60,42,119,40.96473131,-77.06415803,POINT (-77.06415803 40.96473131)
Lancaster,53,2013,,Any Drug Overdose Deaths,36,36,42,71,40.04590796,-76.25138768,POINT (-76.25138768 40.04590796)
Wyoming,,2020*,*2020 data as of September 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months. Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,66,66,42,131,41.51892488,-76.01813003,POINT (-76.01813003 41.51892488)
Pike,10,2016,,Any Drug Overdose Deaths,52,52,42,103,41.332572,-75.03270924,POINT (-75.03270924 41.332572)
Philadelphia,1217,2020*,*2020 data as of September 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months.,Any Drug Overdose Deaths,51,51,42,101,40.00444354,-75.140236,POINT (-75.140236 40.00444354)
Bedford,,2014,Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,5,5,42,9,40.00737536,-78.49116474,POINT (-78.49116474 40.00737536)
Butler,47,2015,,Any Drug Overdose Deaths,10,10,42,19,40.91083185,-79.91711779,POINT (-79.91711779 40.91083185)
Montour,,2022*,*2022 data as of October 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months. Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,47,47,42,93,41.02801824,-76.66470527,POINT (-76.66470527 41.02801824)
Butler,66,2021*,*2021 data as of October 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months.,Any Drug Overdose Deaths,10,10,42,19,40.91083185,-79.91711779,POINT (-79.91711779 40.91083185)
Elk,,2013,Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,24,24,42,47,41.42819416,-78.64947713,POINT (-78.64947713 41.42819416)
Bradford,17,2019,,Any Drug Overdose Deaths,8,8,42,15,41.79117814,-76.51825624,POINT (-76.51825624 41.79117814)
Cumberland,25,2022*,*2022 data as of October 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months.,Any Drug Overdose Deaths,21,21,42,41,40.16759839,-77.26866271,POINT (-77.26866271 40.16759839)
Monroe,59,2019,,Any Drug Overdose Deaths,45,45,42,89,41.06091787,-75.34083603,POINT (-75.34083603 41.06091787)
York,67,2012,,Any Drug Overdose Deaths,67,67,42,133,39.92192531,-76.72576052,POINT (-76.72576052 39.92192531)
Lawrence,32,2015,,Any Drug Overdose Deaths,37,37,42,73,40.99325035,-80.33754114,POINT (-80.33754114 40.99325035)
Northampton,56,2015,,Any Drug Overdose Deaths,48,48,42,95,40.7545954,-75.31263726,POINT (-75.31263726 40.7545954)
Chester,106,2021*,*2021 data as of October 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months.,Any Drug Overdose Deaths,15,15,42,29,39.97487056,-75.75626498,POINT (-75.75626498 39.97487056)
Sullivan,,2021*,*2021 data as of October 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months. Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,57,57,42,113,41.4480994,-76.5147922,POINT (-76.5147922 41.4480994)
Crawford,15,2014,,Any Drug Overdose Deaths,20,20,42,39,41.68546907,-80.11321083,POINT (-80.11321083 41.68546907)
Washington,43,2014,,Any Drug Overdose Deaths,63,63,42,125,40.19109663,-80.25180083,POINT (-80.25180083 40.19109663)
Lycoming,14,2013,,Any Drug Overdose Deaths,41,41,42,81,41.34459792,-77.06942457,POINT (-77.06942457 41.34459792)
Tioga,,2016,Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,59,59,42,117,41.77333834,-77.25788076,POINT (-77.25788076 41.77333834)
Snyder,,2018,Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,55,55,42,109,40.77113737,-77.07255968,POINT (-77.07255968 40.77113737)
Berks,89,2022*,*2022 data as of October 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months.,Any Drug Overdose Deaths,6,6,42,11,40.41939635,-75.93077327,POINT (-75.93077327 40.41939635)
Montgomery,207,2019,,Any Drug Overdose Deaths,46,46,42,91,40.20989874,-75.37252001,POINT (-75.37252001 40.20989874)
Washington,49,2013,,Any Drug Overdose Deaths,63,63,42,125,40.19109663,-80.25180083,POINT (-80.25180083 40.19109663)
Union,,2017,Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,60,60,42,119,40.96473131,-77.06415803,POINT (-77.06415803 40.96473131)
Erie,91,2021*,*2021 data as of October 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months.,Any Drug Overdose Deaths,25,25,42,49,41.99413787,-80.0407591,POINT (-80.0407591 41.99413787)
Clarion,,2022*,*2022 data as of October 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months. Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,16,16,42,31,41.19279129,-79.42483608,POINT (-79.42483608 41.19279129)
Blair,33,2016,,Any Drug Overdose Deaths,7,7,42,13,40.48555024,-78.34907687,POINT (-78.34907687 40.48555024)
Northampton,69,2018,,Any Drug Overdose Deaths,48,48,42,95,40.7545954,-75.31263726,POINT (-75.31263726 40.7545954)
Crawford,25,2015,,Any Drug Overdose Deaths,20,20,42,39,41.68546907,-80.11321083,POINT (-80.11321083 41.68546907)
Westmoreland,120,2020*,*2020 data as of September 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months.,Any Drug Overdose Deaths,65,65,42,129,40.310315,-79.47134118,POINT (-79.47134118 40.310315)
Snyder,,2017,Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,55,55,42,109,40.77113737,-77.07255968,POINT (-77.07255968 40.77113737)
Lackawanna,72,2016,,Any Drug Overdose Deaths,35,35,42,69,41.43910064,-75.61218345,POINT (-75.61218345 41.43910064)
Pennsylvania,2241,2013,,Any Drug Overdose Deaths,0,0,42,0,39.346129,-75.167756,POINT (-75.167756 39.346129)
Crawford,24,2020*,*2020 data as of September 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months.,Any Drug Overdose Deaths,20,20,42,39,41.68546907,-80.11321083,POINT (-80.11321083 41.68546907)
Franklin,34,2016,,Any Drug Overdose Deaths,28,28,42,55,39.92786197,-77.72398845,POINT (-77.72398845 39.92786197)
Delaware,157,2015,,Any Drug Overdose Deaths,23,23,42,45,39.91657867,-75.40627712,POINT (-75.40627712 39.91657867)
Beaver,24,2012,,Any Drug Overdose Deaths,4,4,42,7,40.68349245,-80.35107356,POINT (-80.35107356 40.68349245)
Wayne,17,2015,,Any Drug Overdose Deaths,64,64,42,127,41.64969805,-75.3051535,POINT (-75.3051535 41.64969805)
Greene,12,2019,,Any Drug Overdose Deaths,30,30,42,59,39.85480393,-80.22943817,POINT (-80.22943817 39.85480393)
Huntingdon,,2018,Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,31,31,42,61,40.416105,-77.9827661,POINT (-77.9827661 40.416105)
Elk,,2018,Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,24,24,42,47,41.42819416,-78.64947713,POINT (-78.64947713 41.42819416)
Lebanon,20,2015,,Any Drug Overdose Deaths,38,38,42,75,40.367597,-76.46182575,POINT (-76.46182575 40.367597)
Carbon,14,2013,,Any Drug Overdose Deaths,13,13,42,25,40.91936701,-75.71107039,POINT (-75.71107039 40.91936701)
Mckean,12,2021*,*2021 data as of October 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months.,Any Drug Overdose Deaths,42,42,42,83,41.81037074,-78.5712202,POINT (-78.5712202 41.81037074)
Indiana,,2014,Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,32,32,42,63,40.65295497,-79.09333493,POINT (-79.09333493 40.65295497)
Lancaster,49,2012,,Any Drug Overdose Deaths,36,36,42,71,40.04590796,-76.25138768,POINT (-76.25138768 40.04590796)
Montour,20,2021*,*2021 data as of October 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months.,Any Drug Overdose Deaths,47,47,42,93,41.02801824,-76.66470527,POINT (-76.66470527 41.02801824)
Wyoming,15,2018,,Any Drug Overdose Deaths,66,66,42,131,41.51892488,-76.01813003,POINT (-76.01813003 41.51892488)
Mercer,42,2022*,*2022 data as of October 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months.,Any Drug Overdose Deaths,43,43,42,85,41.30237777,-80.26009411,POINT (-80.26009411 41.30237777)
Chester,107,2019,,Any Drug Overdose Deaths,15,15,42,29,39.97487056,-75.75626498,POINT (-75.75626498 39.97487056)
Wayne,18,2021*,*2021 data as of October 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months.,Any Drug Overdose Deaths,64,64,42,127,41.64969805,-75.3051535,POINT (-75.3051535 41.64969805)
Columbia,17,2018,,Any Drug Overdose Deaths,19,19,42,37,41.04912086,-76.4100218,POINT (-76.4100218 41.04912086)
Montgomery,219,2020*,*2020 data as of September 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months.,Any Drug Overdose Deaths,46,46,42,91,40.20989874,-75.37252001,POINT (-75.37252001 40.20989874)
Forest,0,2014,,Any Drug Overdose Deaths,27,27,42,53,41.51357876,-79.23780995,POINT (-79.23780995 41.51357876)
Somerset,12,2019,,Any Drug Overdose Deaths,56,56,42,111,39.97146299,-79.03100206,POINT (-79.03100206 39.97146299)
Adams,0,2022*,*2022 data as of October 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months.,Any Drug Overdose Deaths,1,1,42,1,39.87209565,-77.22224271,POINT (-77.22224271 39.87209565)
Pike,17,2021*,*2021 data as of October 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months.,Any Drug Overdose Deaths,52,52,42,103,41.332572,-75.03270924,POINT (-75.03270924 41.332572)
Bedford,13,2020*,*2020 data as of September 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months.,Any Drug Overdose Deaths,5,5,42,9,40.00737536,-78.49116474,POINT (-78.49116474 40.00737536)
Lackawanna,79,2017,,Any Drug Overdose Deaths,35,35,42,69,41.43910064,-75.61218345,POINT (-75.61218345 41.43910064)
Pike,,2015,Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,52,52,42,103,41.332572,-75.03270924,POINT (-75.03270924 41.332572)
Lawrence,53,2021*,*2021 data as of October 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months.,Any Drug Overdose Deaths,37,37,42,73,40.99325035,-80.33754114,POINT (-80.33754114 40.99325035)
Berks,60,2015,,Any Drug Overdose Deaths,6,6,42,11,40.41939635,-75.93077327,POINT (-75.93077327 40.41939635)
Cameron,0,2019,,Any Drug Overdose Deaths,12,12,42,23,41.43880265,-78.20916932,POINT (-78.20916932 41.43880265)
Monroe,28,2013,,Any Drug Overdose Deaths,45,45,42,89,41.06091787,-75.34083603,POINT (-75.34083603 41.06091787)
Berks,132,2021*,*2021 data as of October 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months.,Any Drug Overdose Deaths,6,6,42,11,40.41939635,-75.93077327,POINT (-75.93077327 40.41939635)
Lycoming,33,2019,,Any Drug Overdose Deaths,41,41,42,81,41.34459792,-77.06942457,POINT (-77.06942457 41.34459792)
Armstrong,29,2017,,Any Drug Overdose Deaths,3,3,42,5,40.81509526,-79.47316899,POINT (-79.47316899 40.81509526)
Somerset,,2013,Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,56,56,42,111,39.97146299,-79.03100206,POINT (-79.03100206 39.97146299)
Clarion,,2017,Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,16,16,42,31,41.19279129,-79.42483608,POINT (-79.42483608 41.19279129)
Butler,72,2020*,*2020 data as of September 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months.,Any Drug Overdose Deaths,10,10,42,19,40.91083185,-79.91711779,POINT (-79.91711779 40.91083185)
Philadelphia,1117,2018,,Any Drug Overdose Deaths,51,51,42,101,40.00444354,-75.140236,POINT (-75.140236 40.00444354)
Tioga,,2014,Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,59,59,42,117,41.77333834,-77.25788076,POINT (-77.25788076 41.77333834)
Butler,29,2014,,Any Drug Overdose Deaths,10,10,42,19,40.91083185,-79.91711779,POINT (-79.91711779 40.91083185)
Northumberland,,2012,Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,49,49,42,97,40.85150926,-76.71188423,POINT (-76.71188423 40.85150926)
Perry,,2019,Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,50,50,42,99,40.40415317,-77.25907385,POINT (-77.25907385 40.40415317)
Jefferson,,2022*,*2022 data as of October 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months. Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,33,33,42,65,41.13139091,-79.00101814,POINT (-79.00101814 41.13139091)
Centre,14,2020*,*2020 data as of September 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months.,Any Drug Overdose Deaths,14,14,42,27,40.9193135,-77.82500112,POINT (-77.82500112 40.9193135)
Lawrence,38,2020*,*2020 data as of September 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months.,Any Drug Overdose Deaths,37,37,42,73,40.99325035,-80.33754114,POINT (-80.33754114 40.99325035)
