Geographic Area,Geographic Name,Gender,Age,Year,Time Period,Time Period Dates,Number of Days Hospitalized,Number of Days Hospitalized Description,Number of Days Hospitalized Notes,Estimated Lost Wages,Estimated Lost Wages Description,Estimated Lost State Income Tax Revenue,Estimated Lost State Income Tax Revenue Description,County Code Number,County Code Text,State FIPS Code,County FIPS Code,Latitude/Longitude,Georeferenced Latitude & Longitude,Latitude,Longitude
County,Fulton,All,All (21 to 64 years),2017,2017 Q3,7/1/2017-9/30/2017,,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,,Lost wages dues to hospitalization for opioid use,,Estimated state income tax revenue lost during hospitalizations due to opioid use,29,29,42,57,"(39.9248751086, -78.1148504535)",POINT (-78.1148504535 39.9248751086),39.92487511,-78.11485045
County,McKean,All,All (21 to 64 years),2020,2020 Q4,10/1/2020-12/31/2020,73,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,9604.71,Lost wages dues to hospitalization for opioid use,294.86,Estimated state income tax revenue lost during hospitalizations due to opioid use,42,42,42,83,"(41.810370736, -78.5712201998)",POINT (-78.5712201998 41.810370736),41.81037074,-78.5712202
State,Commonwealth,Male,All (21 to 64 years),2016,2016 Q3,7/1/2016-9/30/2016,8674,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,1291213.14,Lost wages dues to hospitalization for opioid use,39640.24,Estimated state income tax revenue lost during hospitalizations due to opioid use,0,0,42,0,"(39.346129, -75.167756)",POINT (-75.167756 39.346129),39.346129,-75.167756
County,Chester,All,All (21 to 64 years),2016,2016 Q1,1/1/2016-3/31/2016,489,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,93748.29,Lost wages dues to hospitalization for opioid use,2878.07,Estimated state income tax revenue lost during hospitalizations due to opioid use,15,15,42,29,"(39.9748705566, -75.7562649818)",POINT (-75.7562649818 39.9748705566),39.97487056,-75.75626498
County,Cameron,All,All (21 to 64 years),2018,2018 Q2,4/1/2018-6/30/2018,19,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,2076.43,Lost wages dues to hospitalization for opioid use,63.75,Estimated state income tax revenue lost during hospitalizations due to opioid use,12,12,42,23,"(41.4388026531, -78.2091693241)",POINT (-78.2091693241 41.4388026531),41.43880265,-78.20916932
County,Cambria,All,All (21 to 64 years),2017,2017 Q1,1/1/2017-3/31/2017,120,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,12325.71,Lost wages dues to hospitalization for opioid use,378.40,Estimated state income tax revenue lost during hospitalizations due to opioid use,11,11,42,21,"(40.4912749067, -78.7189417385)",POINT (-78.7189417385 40.4912749067),40.49127491,-78.71894174
County,Blair,All,All (21 to 64 years),2019,2019 Q3,7/1/2019-9/30/2019,64,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,7369.14,Lost wages dues to hospitalization for opioid use,226.23,Estimated state income tax revenue lost during hospitalizations due to opioid use,7,7,42,13,"(40.4855502384, -78.349076871)",POINT (-78.349076871 40.4855502384),40.48555024,-78.34907687
County,Mercer,All,All (21 to 64 years),2020,2020 Q1,1/1/2020-3/31/2020,30,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,3630.00,Lost wages dues to hospitalization for opioid use,111.44,Estimated state income tax revenue lost during hospitalizations due to opioid use,43,43,42,85,"(41.302377765, -80.2600941079)",POINT (-80.2600941079 41.302377765),41.30237777,-80.26009411
County,Erie,All,All (21 to 64 years),2019,2019 Annual,1/1/2019-12/31/2019,971,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,115496.86,Lost wages dues to hospitalization for opioid use,3545.75,Estimated state income tax revenue lost during hospitalizations due to opioid use,25,25,42,49,"(41.9941378702, -80.0407591036)",POINT (-80.0407591036 41.9941378702),41.99413787,-80.0407591
County,Erie,All,All (21 to 64 years),2020,2020 Q3,7/1/2020-9/30/2020,246,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,30714.86,Lost wages dues to hospitalization for opioid use,942.95,Estimated state income tax revenue lost during hospitalizations due to opioid use,25,25,42,49,"(41.9941378702, -80.0407591036)",POINT (-80.0407591036 41.9941378702),41.99413787,-80.0407591
County,Greene,All,All (21 to 64 years),2020,2020 Q3,7/1/2020-9/30/2020,11,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,1676.71,Lost wages dues to hospitalization for opioid use,51.48,Estimated state income tax revenue lost during hospitalizations due to opioid use,30,30,42,59,"(39.8548039342, -80.2294381655)",POINT (-80.2294381655 39.8548039342),39.85480393,-80.22943817
County,Bedford,All,All (21 to 64 years),2016,2016 Annual,1/1/2016-12/31/2016,57,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,5301.57,Lost wages dues to hospitalization for opioid use,162.76,Estimated state income tax revenue lost during hospitalizations due to opioid use,5,5,42,9,"(40.0073753643, -78.4911647381)",POINT (-78.4911647381 40.0073753643),40.00737536,-78.49116474
County,Crawford,All,All (21 to 64 years),2017,2017 Q4,10/1/2017-12/31/2017,168,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,18792.00,Lost wages dues to hospitalization for opioid use,576.91,Estimated state income tax revenue lost during hospitalizations due to opioid use,20,20,42,39,"(41.6854690692, -80.1132108295)",POINT (-80.1132108295 41.6854690692),41.68546907,-80.11321083
County,Mifflin,All,All (21 to 64 years),2016,2016 Q4,10/1/2016-12/31/2016,,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,,Lost wages dues to hospitalization for opioid use,,Estimated state income tax revenue lost during hospitalizations due to opioid use,44,44,42,87,"(40.6127492804, -77.6200308901)",POINT (-77.6200308901 40.6127492804),40.61274928,-77.62003089
County,Cameron,All,All (21 to 64 years),2017,2017 Annual,1/1/2017-12/31/2017,19,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,2053.14,Lost wages dues to hospitalization for opioid use,63.03,Estimated state income tax revenue lost during hospitalizations due to opioid use,12,12,42,23,"(41.4388026531, -78.2091693241)",POINT (-78.2091693241 41.4388026531),41.43880265,-78.20916932
County,Montour,All,All (21 to 64 years),2017,2017 Q1,1/1/2017-3/31/2017,30,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,5288.57,Lost wages dues to hospitalization for opioid use,162.36,Estimated state income tax revenue lost during hospitalizations due to opioid use,47,47,42,93,"(41.0280182438, -76.6647052668)",POINT (-76.6647052668 41.0280182438),41.02801824,-76.66470527
County,Allegheny,All,All (21 to 64 years),2020,2020 Q4,10/1/2020-12/31/2020,1132,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,225268.00,Lost wages dues to hospitalization for opioid use,6915.73,Estimated state income tax revenue lost during hospitalizations due to opioid use,2,2,42,3,"(40.4673554298, -79.9861984282)",POINT (-79.9861984282 40.4673554298),40.46735543,-79.98619843
County,Lebanon,All,All (21 to 64 years),2019,2019 Q2,4/1/2019-6/30/2019,22,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,2655.71,Lost wages dues to hospitalization for opioid use,81.53,Estimated state income tax revenue lost during hospitalizations due to opioid use,38,38,42,75,"(40.3675970024, -76.4618257486)",POINT (-76.4618257486 40.3675970024),40.367597,-76.46182575
County,Beaver,All,All (21 to 64 years),2020,2020 Q2,4/1/2020-6/30/2020,126,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,17694.00,Lost wages dues to hospitalization for opioid use,543.21,Estimated state income tax revenue lost during hospitalizations due to opioid use,4,4,42,7,"(40.6834924548, -80.3510735648)",POINT (-80.3510735648 40.6834924548),40.68349246,-80.35107356
County,Lancaster,All,All (21 to 64 years),2019,2019 Q4,10/1/2019-12/31/2019,244,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,33253.71,Lost wages dues to hospitalization for opioid use,1020.89,Estimated state income tax revenue lost during hospitalizations due to opioid use,36,36,42,71,"(40.0459079619, -76.2513876838)",POINT (-76.2513876838 40.0459079619),40.04590796,-76.25138768
County,Crawford,All,All (21 to 64 years),2016,2016 Q1,1/1/2016-3/31/2016,175,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,17275.00,Lost wages dues to hospitalization for opioid use,530.34,Estimated state income tax revenue lost during hospitalizations due to opioid use,20,20,42,39,"(41.6854690692, -80.1132108295)",POINT (-80.1132108295 41.6854690692),41.68546907,-80.11321083
County,Monroe,All,All (21 to 64 years),2019,2019 Q1,1/1/2019-3/31/2019,75,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,9300.00,Lost wages dues to hospitalization for opioid use,285.51,Estimated state income tax revenue lost during hospitalizations due to opioid use,45,45,42,89,"(41.0609178653, -75.3408360302)",POINT (-75.3408360302 41.0609178653),41.06091787,-75.34083603
County,Cameron,All,All (21 to 64 years),2019,2019 Q3,7/1/2019-9/30/2019,2,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,208.86,Lost wages dues to hospitalization for opioid use,6.41,Estimated state income tax revenue lost during hospitalizations due to opioid use,12,12,42,23,"(41.4388026531, -78.2091693241)",POINT (-78.2091693241 41.4388026531),41.43880265,-78.20916932
State,Commonwealth,Female,All (21 to 64 years),2020,2020 Q4,10/1/2020-12/31/2020,4629,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,883189.14,Lost wages dues to hospitalization for opioid use,27113.91,Estimated state income tax revenue lost during hospitalizations due to opioid use,0,0,42,0,"(39.346129, -75.167756)",POINT (-75.167756 39.346129),39.346129,-75.167756
County,Centre,All,All (21 to 64 years),2016,2016 Q1,1/1/2016-3/31/2016,17,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,2129.86,Lost wages dues to hospitalization for opioid use,65.39,Estimated state income tax revenue lost during hospitalizations due to opioid use,14,14,42,27,"(40.9193135008, -77.8250011212)",POINT (-77.8250011212 40.9193135008),40.9193135,-77.82500112
County,Clarion,All,All (21 to 64 years),2016,2016 Q4,10/1/2016-12/31/2016,,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,,Lost wages dues to hospitalization for opioid use,,Estimated state income tax revenue lost during hospitalizations due to opioid use,16,16,42,31,"(41.1927912877, -79.4248360769)",POINT (-79.4248360769 41.1927912877),41.19279129,-79.42483608
County,Mifflin,All,All (21 to 64 years),2016,2016 Q2,4/1/2016-6/30/2016,,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,,Lost wages dues to hospitalization for opioid use,,Estimated state income tax revenue lost during hospitalizations due to opioid use,44,44,42,87,"(40.6127492804, -77.6200308901)",POINT (-77.6200308901 40.6127492804),40.61274928,-77.62003089
County,Greene,All,All (21 to 64 years),2019,2019 Q1,1/1/2019-3/31/2019,53,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,9138.71,Lost wages dues to hospitalization for opioid use,280.56,Estimated state income tax revenue lost during hospitalizations due to opioid use,30,30,42,59,"(39.8548039342, -80.2294381655)",POINT (-80.2294381655 39.8548039342),39.85480393,-80.22943817
County,Susquehanna,All,All (21 to 64 years),2016,2016 Annual,1/1/2016-12/31/2016,1,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,100.14,Lost wages dues to hospitalization for opioid use,3.07,Estimated state income tax revenue lost during hospitalizations due to opioid use,58,58,42,115,"(41.8205685982, -75.8025030296)",POINT (-75.8025030296 41.8205685982),41.8205686,-75.80250303
County,Philadelphia,All,All (21 to 64 years),2016,2016 Q2,4/1/2016-6/30/2016,3724,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,611800.00,Lost wages dues to hospitalization for opioid use,18782.26,Estimated state income tax revenue lost during hospitalizations due to opioid use,51,51,42,101,"(40.0044435384, -75.140236002)",POINT (-75.140236002 40.0044435384),40.00444354,-75.140236
State,Commonwealth,Male,All (21 to 64 years),2019,2019 Q2,4/1/2019-6/30/2019,8352,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,1326084.14,Lost wages dues to hospitalization for opioid use,40710.78,Estimated state income tax revenue lost during hospitalizations due to opioid use,0,0,42,0,"(39.346129, -75.167756)",POINT (-75.167756 39.346129),39.346129,-75.167756
County,Jefferson,All,All (21 to 64 years),2017,2017 Q4,10/1/2017-12/31/2017,18,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,1962.00,Lost wages dues to hospitalization for opioid use,60.23,Estimated state income tax revenue lost during hospitalizations due to opioid use,33,33,42,65,"(41.1313909115, -79.0010181419)",POINT (-79.0010181419 41.1313909115),41.13139091,-79.00101814
State,Commonwealth,All,All (21 to 64 years),2016,2016 Q2,4/1/2016-6/30/2016,14873,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,2093451.43,Lost wages dues to hospitalization for opioid use,64268.96,Estimated state income tax revenue lost during hospitalizations due to opioid use,0,0,42,0,"(39.346129, -75.167756)",POINT (-75.167756 39.346129),39.346129,-75.167756
County,Sullivan,All,All (21 to 64 years),2020,2020 Q4,10/1/2020-12/31/2020,,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,,Lost wages dues to hospitalization for opioid use,,Estimated state income tax revenue lost during hospitalizations due to opioid use,57,57,42,113,"(41.4480993958, -76.5147922046)",POINT (-76.5147922046 41.4480993958),41.4480994,-76.5147922
County,Fulton,All,All (21 to 64 years),2018,2018 Q3,7/1/2018-9/30/2018,1,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,133.43,Lost wages dues to hospitalization for opioid use,4.10,Estimated state income tax revenue lost during hospitalizations due to opioid use,29,29,42,57,"(39.9248751086, -78.1148504535)",POINT (-78.1148504535 39.9248751086),39.92487511,-78.11485045
County,Chester,All,All (21 to 64 years),2018,2018 Q1,1/1/2018-3/31/2018,371,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,78387.00,Lost wages dues to hospitalization for opioid use,2406.48,Estimated state income tax revenue lost during hospitalizations due to opioid use,15,15,42,29,"(39.9748705566, -75.7562649818)",POINT (-75.7562649818 39.9748705566),39.97487056,-75.75626498
County,Crawford,All,All (21 to 64 years),2019,2019 Annual,1/1/2019-12/31/2019,585,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,66182.57,Lost wages dues to hospitalization for opioid use,2031.80,Estimated state income tax revenue lost during hospitalizations due to opioid use,20,20,42,39,"(41.6854690692, -80.1132108295)",POINT (-80.1132108295 41.6854690692),41.68546907,-80.11321083
County,Berks,All,All (21 to 64 years),2016,2016 Q3,7/1/2016-9/30/2016,314,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,42479.71,Lost wages dues to hospitalization for opioid use,1304.13,Estimated state income tax revenue lost during hospitalizations due to opioid use,6,6,42,11,"(40.4193963513, -75.9307732705)",POINT (-75.9307732705 40.4193963513),40.41939635,-75.93077327
County,Bradford,All,All (21 to 64 years),2017,2017 Q2,4/1/2017-6/30/2017,16,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,1933.71,Lost wages dues to hospitalization for opioid use,59.37,Estimated state income tax revenue lost during hospitalizations due to opioid use,8,8,42,15,"(41.7911781401, -76.5182562384)",POINT (-76.5182562384 41.7911781401),41.79117814,-76.51825624
County,Dauphin,All,All (21 to 64 years),2020,2020 Q4,10/1/2020-12/31/2020,156,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,28503.43,Lost wages dues to hospitalization for opioid use,875.06,Estimated state income tax revenue lost during hospitalizations due to opioid use,22,22,42,43,"(40.4197463597, -76.7796056802)",POINT (-76.7796056802 40.4197463597),40.41974636,-76.77960568
County,Jefferson,All,All (21 to 64 years),2016,2016 Q4,10/1/2016-12/31/2016,,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,,Lost wages dues to hospitalization for opioid use,,Estimated state income tax revenue lost during hospitalizations due to opioid use,33,33,42,65,"(41.1313909115, -79.0010181419)",POINT (-79.0010181419 41.1313909115),41.13139091,-79.00101814
County,Montgomery,All,All (21 to 64 years),2017,2017 Q4,10/1/2017-12/31/2017,1084,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,204566.29,Lost wages dues to hospitalization for opioid use,6280.18,Estimated state income tax revenue lost during hospitalizations due to opioid use,46,46,42,91,"(40.209898739, -75.3725200072)",POINT (-75.3725200072 40.209898739),40.20989874,-75.37252001
County,Cameron,All,All (21 to 64 years),2016,2016 Q2,4/1/2016-6/30/2016,,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,,Lost wages dues to hospitalization for opioid use,,Estimated state income tax revenue lost during hospitalizations due to opioid use,12,12,42,23,"(41.4388026531, -78.2091693241)",POINT (-78.2091693241 41.4388026531),41.43880265,-78.20916932
County,Clearfield,All,All (21 to 64 years),2017,2017 Annual,1/1/2017-12/31/2017,159,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,16944.71,Lost wages dues to hospitalization for opioid use,520.20,Estimated state income tax revenue lost during hospitalizations due to opioid use,17,17,42,33,"(41.0004290024, -78.4755834299)",POINT (-78.4755834299 41.0004290024),41.000429,-78.47558343
County,Philadelphia,All,All (21 to 64 years),2016,2016 Q3,7/1/2016-9/30/2016,3874,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,678503.43,Lost wages dues to hospitalization for opioid use,20830.06,Estimated state income tax revenue lost during hospitalizations due to opioid use,51,51,42,101,"(40.0044435384, -75.140236002)",POINT (-75.140236002 40.0044435384),40.00444354,-75.140236
County,Bedford,All,All (21 to 64 years),2020,2020 Q3,7/1/2020-9/30/2020,6,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,636.00,Lost wages dues to hospitalization for opioid use,19.53,Estimated state income tax revenue lost during hospitalizations due to opioid use,5,5,42,9,"(40.0073753643, -78.4911647381)",POINT (-78.4911647381 40.0073753643),40.00737536,-78.49116474
County,Westmoreland,All,All (21 to 64 years),2018,2018 Annual,1/1/2018-12/31/2018,582,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,72904.57,Lost wages dues to hospitalization for opioid use,2238.17,Estimated state income tax revenue lost during hospitalizations due to opioid use,65,65,42,129,"(40.3103149985, -79.471341176)",POINT (-79.471341176 40.3103149985),40.310315,-79.47134118
County,Perry,All,All (21 to 64 years),2017,2017 Annual,1/1/2017-12/31/2017,315,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,28062.71,Lost wages dues to hospitalization for opioid use,861.53,Estimated state income tax revenue lost during hospitalizations due to opioid use,50,50,42,99,"(40.4041531744, -77.2590738496)",POINT (-77.2590738496 40.4041531744),40.40415317,-77.25907385
County,Blair,All,All (21 to 64 years),2020,2020 Q1,1/1/2020-3/31/2020,51,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,5967.00,Lost wages dues to hospitalization for opioid use,183.19,Estimated state income tax revenue lost during hospitalizations due to opioid use,7,7,42,13,"(40.4855502384, -78.349076871)",POINT (-78.349076871 40.4855502384),40.48555024,-78.34907687
County,Indiana,All,All (21 to 64 years),2017,2017 Q2,4/1/2017-6/30/2017,43,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,5086.29,Lost wages dues to hospitalization for opioid use,156.15,Estimated state income tax revenue lost during hospitalizations due to opioid use,32,32,42,63,"(40.6529549748, -79.0933349286)",POINT (-79.0933349286 40.6529549748),40.65295498,-79.09333493
County,Berks,All,All (21 to 64 years),2017,2017 Q4,10/1/2017-12/31/2017,325,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,45082.14,Lost wages dues to hospitalization for opioid use,1384.02,Estimated state income tax revenue lost during hospitalizations due to opioid use,6,6,42,11,"(40.4193963513, -75.9307732705)",POINT (-75.9307732705 40.4193963513),40.41939635,-75.93077327
County,Dauphin,All,All (21 to 64 years),2020,2020 Q3,7/1/2020-9/30/2020,206,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,32901.14,Lost wages dues to hospitalization for opioid use,1010.07,Estimated state income tax revenue lost during hospitalizations due to opioid use,22,22,42,43,"(40.4197463597, -76.7796056802)",POINT (-76.7796056802 40.4197463597),40.41974636,-76.77960568
County,Wayne,All,All (21 to 64 years),2018,2018 Q2,4/1/2018-6/30/2018,,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,,Lost wages dues to hospitalization for opioid use,,Estimated state income tax revenue lost during hospitalizations due to opioid use,64,64,42,127,"(41.6496980525, -75.3051535022)",POINT (-75.3051535022 41.6496980525),41.64969805,-75.3051535
County,Montgomery,All,All (21 to 64 years),2018,2018 Q4,10/1/2018-12/31/2018,1092,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,212316.00,Lost wages dues to hospitalization for opioid use,6518.10,Estimated state income tax revenue lost during hospitalizations due to opioid use,46,46,42,91,"(40.209898739, -75.3725200072)",POINT (-75.3725200072 40.209898739),40.20989874,-75.37252001
County,Westmoreland,All,All (21 to 64 years),2019,2019 Annual,1/1/2019-12/31/2019,719,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,92577.57,Lost wages dues to hospitalization for opioid use,2842.13,Estimated state income tax revenue lost during hospitalizations due to opioid use,65,65,42,129,"(40.3103149985, -79.471341176)",POINT (-79.471341176 40.3103149985),40.310315,-79.47134118
State,Commonwealth,All,All (21 to 64 years),2017,2017 Q3,7/1/2017-9/30/2017,15814,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,2352347.43,Lost wages dues to hospitalization for opioid use,72217.07,Estimated state income tax revenue lost during hospitalizations due to opioid use,0,0,42,0,"(39.346129, -75.167756)",POINT (-75.167756 39.346129),39.346129,-75.167756
County,Monroe,All,All (21 to 64 years),2018,2018 Q2,4/1/2018-6/30/2018,44,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,4984.57,Lost wages dues to hospitalization for opioid use,153.03,Estimated state income tax revenue lost during hospitalizations due to opioid use,45,45,42,89,"(41.0609178653, -75.3408360302)",POINT (-75.3408360302 41.0609178653),41.06091787,-75.34083603
County,Mifflin,All,All (21 to 64 years),2019,2019 Q3,7/1/2019-9/30/2019,2,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,221.71,Lost wages dues to hospitalization for opioid use,6.81,Estimated state income tax revenue lost during hospitalizations due to opioid use,44,44,42,87,"(40.6127492804, -77.6200308901)",POINT (-77.6200308901 40.6127492804),40.61274928,-77.62003089
County,York,All,All (21 to 64 years),2017,2017 Annual,1/1/2017-12/31/2017,1771,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,230853.29,Lost wages dues to hospitalization for opioid use,7087.20,Estimated state income tax revenue lost during hospitalizations due to opioid use,67,67,42,133,"(39.9219253124, -76.7257605231)",POINT (-76.7257605231 39.9219253124),39.92192531,-76.72576052
County,Centre,All,All (21 to 64 years),2018,2018 Q3,7/1/2018-9/30/2018,15,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,2106.43,Lost wages dues to hospitalization for opioid use,64.67,Estimated state income tax revenue lost during hospitalizations due to opioid use,14,14,42,27,"(40.9193135008, -77.8250011212)",POINT (-77.8250011212 40.9193135008),40.9193135,-77.82500112
County,Washington,All,All (21 to 64 years),2018,2018 Q4,10/1/2018-12/31/2018,88,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,13853.71,Lost wages dues to hospitalization for opioid use,425.31,Estimated state income tax revenue lost during hospitalizations due to opioid use,63,63,42,125,"(40.1910966345, -80.2518008276)",POINT (-80.2518008276 40.1910966345),40.19109664,-80.25180083
County,Northumberland,All,All (21 to 64 years),2017,2017 Q2,4/1/2017-6/30/2017,63,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,6633.00,Lost wages dues to hospitalization for opioid use,203.63,Estimated state income tax revenue lost during hospitalizations due to opioid use,49,49,42,97,"(40.8515092572, -76.7118842273)",POINT (-76.7118842273 40.8515092572),40.85150926,-76.71188423
County,Luzerne,All,All (21 to 64 years),2020,2020 Q2,4/1/2020-6/30/2020,134,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,17822.00,Lost wages dues to hospitalization for opioid use,547.14,Estimated state income tax revenue lost during hospitalizations due to opioid use,40,40,42,79,"(41.1783643884, -75.991996098)",POINT (-75.991996098 41.1783643884),41.17836439,-75.9919961
County,Fayette,All,All (21 to 64 years),2019,2019 Q4,10/1/2019-12/31/2019,47,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,5572.86,Lost wages dues to hospitalization for opioid use,171.09,Estimated state income tax revenue lost during hospitalizations due to opioid use,26,26,42,51,"(39.919447803, -79.6518963464)",POINT (-79.6518963464 39.919447803),39.9194478,-79.65189635
County,Lancaster,All,All (21 to 64 years),2018,2018 Q2,4/1/2018-6/30/2018,409,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,50248.57,Lost wages dues to hospitalization for opioid use,1542.63,Estimated state income tax revenue lost during hospitalizations due to opioid use,36,36,42,71,"(40.0459079619, -76.2513876838)",POINT (-76.2513876838 40.0459079619),40.04590796,-76.25138768
County,Mercer,All,All (21 to 64 years),2018,2018 Q4,10/1/2018-12/31/2018,68,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,8208.57,Lost wages dues to hospitalization for opioid use,252.00,Estimated state income tax revenue lost during hospitalizations due to opioid use,43,43,42,85,"(41.302377765, -80.2600941079)",POINT (-80.2600941079 41.302377765),41.30237777,-80.26009411
County,Union,All,All (21 to 64 years),2020,2020 Q1,1/1/2020-3/31/2020,,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,,Lost wages dues to hospitalization for opioid use,,Estimated state income tax revenue lost during hospitalizations due to opioid use,60,60,42,119,"(40.9647313096, -77.0641580308)",POINT (-77.0641580308 40.9647313096),40.96473131,-77.06415803
County,Lehigh,All,All (21 to 64 years),2017,2017 Annual,1/1/2017-12/31/2017,1126,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,166525.57,Lost wages dues to hospitalization for opioid use,5112.34,Estimated state income tax revenue lost during hospitalizations due to opioid use,39,39,42,77,"(40.6146479416, -75.6009948118)",POINT (-75.6009948118 40.6146479416),40.61464794,-75.60099481
County,Greene,All,All (21 to 64 years),2018,2018 Q1,1/1/2018-3/31/2018,,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,,Lost wages dues to hospitalization for opioid use,,Estimated state income tax revenue lost during hospitalizations due to opioid use,30,30,42,59,"(39.8548039342, -80.2294381655)",POINT (-80.2294381655 39.8548039342),39.85480393,-80.22943817
County,Venango,All,All (21 to 64 years),2018,2018 Q4,10/1/2018-12/31/2018,46,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,5263.71,Lost wages dues to hospitalization for opioid use,161.60,Estimated state income tax revenue lost during hospitalizations due to opioid use,61,61,42,121,"(41.4034125863, -79.7628656104)",POINT (-79.7628656104 41.4034125863),41.40341259,-79.76286561
County,Centre,All,All (21 to 64 years),2017,2017 Q4,10/1/2017-12/31/2017,17,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,2314.43,Lost wages dues to hospitalization for opioid use,71.05,Estimated state income tax revenue lost during hospitalizations due to opioid use,14,14,42,27,"(40.9193135008, -77.8250011212)",POINT (-77.8250011212 40.9193135008),40.9193135,-77.82500112
County,Lackawanna,All,All (21 to 64 years),2017,2017 Q4,10/1/2017-12/31/2017,8,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,956.57,Lost wages dues to hospitalization for opioid use,29.37,Estimated state income tax revenue lost during hospitalizations due to opioid use,35,35,42,69,"(41.4391006428, -75.6121834524)",POINT (-75.6121834524 41.4391006428),41.43910064,-75.61218345
